Issue,Count,Summary
WAT,1001,"Part of my coursework concerns water sustainability, and the construction of this mine would jeopardize some of the most important water systems in North America. Lake Superior, with 10% of the world's fresh water, must be preserved at all cost. The water filled NE Minnesota is a sitting duck for contamination. No amount of profit could justify the risk."
GEN,846,"I am against the nickel sulfide mining project in any form whatsoever. I am deeply concerned about this project; 1- potential negative environmental impacts Any risk to the natural resources of northern Minnesota is unacceptable. Please remove me from your Mailing list, which I have no idea how I got on in the first place."
SO,325,"This mine that promises to provide 350 jobs for twenty years has no place jeopardizing the thriving tourism-based economy that sustains 18,000 jobs annually. The long-term costs (potential and actual) to the State of MN are far greater than any projected economic gain. All the jobs will be temporary except for the pollution clean-up jobs that will go on forever. Our wildlands are far too precious to take such risks."
FIN,263,"The environment will eventually be polluted by the NorthMet Mining Project and Land Exchange Project. The project may meet the State of Minnesota's legal requirements, but these requirements are not sufficient to maintain the integrity of the environment. If the project goes forward the developers, investors and other groups should back environmental cleanup with the entirety of their corporate and personal assets. Failure to do this should stop the project."
PER,231,"The engineering firm that will be the lead for PolyMet Copper Nickel Mine to design and build its tailings dikes was also the designer for the failed Mt. Polley Imperial Metals Copper-Gold Mine of British Columbia, Canada. ""I don't see any consistent mechanisms laid out in the plan to ensure that safety and regulation, and water cleaning will continue unhindered for such a long, long period of time,"" says author."
NEPA,209,"After reading the changes to the most recent Environmental Impact Statement concerning Polymet's proposed copper- nickel mine, I'd like to express my complete opposition to the mine. I I want this very serious concern and complaint documented on the process used for public comment on the EIS for the proposed suffide mine by Polymet. How can the DNR expect anyone, let alone the lay citizenry (including myself) to review a 3,000 plus study and comment on it within 30 days?"
ALT,165,"Common sense says this project should never have been pursued in the first place. The area is revered by thousands, if not millions, of people from all over the world. This isn't the only place in our country where these metals can be found. It is my understanding that returning the area affected by the mining operations to its full, natural state is also an option."
WET,149,"Copper mining in such a valuable wetland area will permanently harm this valuable resource that we hold dear to us, including Lake Superior. The mine will destroy nearly 1,000 acres of high-quality wetlands many of which have already been lost to mining. There is no plan to compensate for the thousands of acres of direct and indirect impacts to high quality wetlands."
PD,148,"There is plenty of copper in the world as is. Do you expect the public to make a reasonable decision without even seeing what you are selling? How about an artist's concept of the finished product? Please require maps and sections showing grade and thickness at the diamond drill holes. Please include in project documentation, the planned dissolution of the site."
MERC,132,"10 percent of babies born along the North Shore of Lake Superior have high levels of mercury in their blood, potentially impacting brain development. The operation of a copper-nickel sulfide mine in northeast Minnesota would greatly contribute to the mercury/sulfate load that is already creating a problem in the St. Louis River."
